"Recipiente","M-0620"
"suporte para lenha (CHenet)","M-0621"
"suporte para lenha (CHenet)","M-0622"
"Sino - YongZhong","M-0623"
"pato","M-0624"
"Pato","M-0625"
"prato","M-0626"
"guerreiro","M-0627"
"guerreiro","M-0628"
"cômoda-escrivaninha","M-0629"
"recipiente ritual","M-0630"
"porta-isqueiro","M-0631"
"Dragão","M-0632"
"Dragão","M-0633"
"taça","M-0634"
"taça","M-0635"
"caixa para fumo","M-0636"
"Incensário","M-0637"
"mesa","M-0638"
"escrivaninha","M-0639"
"jue - recipiente para aquecimento de vinho ritual","M-0640"
"ding - recipiente  trípode","M-0641"
"charrete, passageiro e ajudante ","M-0642"
"cachepô","M-0643"
"you - Vaso ritualpara bebidas alcóolicas","M-0644"
"Figura femimina / Tanagra","M-0645"
"espelho de cabo","M-0646"
"console","M-0647"
"recipiente para óleo","M-0648"
"mesa de jogo","M-0649"
"cadeira de braços","M-0650"
"cadeira","M-0651"
"Cadeira","M-0652"
"Lareira (frontão)","M-0653"
"anjo","M-0654"
"anjo","M-0655 "
"figura de guardião - lokapala","M-0656"
"figura de guardião - lokapala","M-0657"
"banco de igreja","M-0658"
"Cavaleiro","M-0659"
"biombo de mesa","M-0660"
"cavalo","M-0661"
"candelabro de parede","M-0662"
"candelabro de parede","M-0663"
"prato","M-0664"
"Prato","M-0665"
"""Cão de fo""","M-0666"
"recipiente","M-0667"
"GRUTA TAOíSTA COM DIVINDADES. MODELO DE ","M-0668"
"candelabro / lustre","M-0669"
"vaso","M-0670"
"vaso","M-0671"
"lustre","M-0672"
"lampadário","M-0673"
"lustre","M-0674"
"candelabro de mesa (girandole)","M-0675"
"Candelabro de mesa (girandole)","M-0676"
"espelho de parede","M-0677"
"placa misular","M-0678"
"placa misular","M-0679"
"ARANDELA","M-0680"
"arandela","M-0681"
"espírito santo em resplendor","M-0682"
"cama","M-0683"
"moldura","M-0684"
"taça","M-0685"
"cabeça de anjo","M-0686"
"cabeça de anjo","M-0687"
"lustre","M-0688"
"lustre","M-0689"
"vaso","M-0690"
"""estrutura esférica""","M-0691"
"Escrivaninha (trumeau ou escrivaninha com alçado)","M-0692"
"mesa para jogos com toucador","M-0693"
"gaiola","M-0694"
"garfo","M-0695"
"faca","M-0696"
"sem título","M-0697"
"xícara","M-0698"
"anjo","M-0699"
"anjo","M-0700"
"tapete ""iraniano""","M-0701"
"tapete bokhara Salor","M-0702"
"tapete ersari","M-0703"
"tapete MESHED","M-0704"
"tapete tabriz ","M-0705"
"tapete turkoman bokhara yamut","M-0706"
"tapete tabriz com cenas de caça","M-0707"
"tapete kerman","M-0708"
"tapete kilim anatolian","M-0709"
"tapete bokhara tekke","M-0710"
"tapete saruq (mahal)","M-0711"
"tapete senneh","M-0712"
"tapete yuruk","M-0713"
"tapete qum (cidade santa)","M-0714"
"tapete Iraniano de oração ","M-0715"
"Alforge","M-0716"
"tapete iraniano","M-0717"
"tapete pao-tu","M-0718"
"tapete saruq (mahal)","M-0719"
"tapete","M-0720"
"tapete","M-0721"
"tapete ghiordes de oração","M-0722"
"tapete pao-tu","M-0723"
"tapete KIrSEHIR","M-0724"
"tapete Kayseri saph de oração ","M-0725"
"tapete","M-0726"
"tapete GHIORDES de oração","M-0727"
"tapete de pele de zebra","M-0728"
"emoldurado","M-0729"
"emoldurado","M-0730"
"aplique","M-0731"
"aplique","M-0732"
"fuste de coluna","M-0733"
"fuste de coluna","M-0734"
"cadeira","M-0735"
"cadeira","M-0736"
"caixa","M-0737"
"eva","M-0738"
"saboneteira","M-0739"
"saboneteira","M-0740"
"vaso","M-0741"
"vaso","M-0742"
"frasco","M-0743"
"frasco","M-0744"
"recipiente","M-0745"
"frasco","M-0746"
"frasco","M-0747"
"frasco","M-0748"
"saboneteira","M-0749"
"saboneteira","M-0750"
"frasco ","M-0751"
"frasco","M-0752"
"frasco para perfume","M-0753"
"saboneteira","M-0754"
"recipiente","M-0755"
"frasco","M-0756"
"frasco","M-0757"
"caixa","M-0758"
"bandeja","M-0759"
"Pote","M-0760"
"frasco","M-0761"
"frasco","M-0762"
"SAGRADA família","M-0763"
"Retrato masculino","M-0764"
"retrato de dama como diana caçadora","M-0765"
"Virgem com o menino, São José e São João evangelista","M-0766"
"pato","M-0767"
"anunciação à virgem","M-0768"
"adoração ao menino jesus","M-0769"
"Retrato de dignatário eclesiástico","M-0770"
"vista de olinda","M-0771"
"Retrato de homem e moça","M-0772"
"Retrato de homem com cachimbo","M-0773"
"IsaAc abençoa jacob","M-0774"
"Aldeia com Igreja","M-0775"
"interior de taverna","M-0776"
"ARIADNe","M-0777"
"Retrato de nobre espanhol","M-0778"
"retrato de dama florentina","M-0779"
"Pesca milagrosa","M-0780"
"Adão e eva depois da expulsão do paraíso","M-0781"
"triunfo de baco e ariadne","M-0782"
"a recusa de Arquimedes","M-0783"
"torre de babel","M-0784"
"No campo (À la campagne)","M-0785"
"noivos com trenó e galo vermelho","M-0786"
"vaso com flores","M-0787"
"Natureza morta com frutas","M-0788"
"natureza morta com limões e xícara","M-0789"
"natureza morta com flores, frutas e cachorro","M-0790"
"caça ao javali","M-0791"
"dois galos","M-0792"
"retrato de lucy","M-0793"
" Igreja de São Cosme e São Damião (Igaraçú)","M-0794"
"paisagem com pastores","M-0795"
"cabeça de mulata","M-0796"
"Paisagem com árvores ao vento","M-0797"
"sagrada família","M-0798"
"a matança dos inocentes","M-0799"
"cena religiosa","M-0800"
"adoração dos reis magos","M-0801"
"Espetáculo na Porte aux Peintres","M-0802"
"Espetáculo na Porte du Palais","M-0803"
"A paixão de Cristo","M-0804"
"retrato de mulher","M-0805"
"No ateliê","M-0806"
"Retrato de um jovem","M-0807"
"paisagem","M-0808"
"partida para a caça","M-0809"
"Grupo com cavalo branco","M-0810"
"sagrada família (Fuga para o egito ?)","M-0811"
"sagrada família","M-0812"
"Virgem, Sant'Ana e São Joaquim","M-0813"
"dois homens à mesa","M-0814"
"Página iluminada de um livro de canções (Falsificação)","M-0815"
"Página iluminada de um livro de canções (Falsificação)","M-0816"
"casal","M-0817"
"retrato de dama como Santa cecília ","M-0818"
"vênus e cupido","M-0819"
"Guirlanda de Flores com cartucho","M-0820"
